,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible
1724,t,-1.0,-1.0,0,6,35.48296502810888,0,-31.409664154052734,220.411865234375,348.10630989074707,0.023000000044703484,0.8050000015646219,0.013462868049663746,0.13379247725214327,0.01672405965651791,viz.VizPrimitive(6)
1725,t,-1.0,-1.0,0,6,35.49954510219655,0,-31.43701934814453,220.541748046875,348.1225690841675,0.02800000086426735,0.9800000302493572,0.016259418425872856,0.13272994223672185,0.016591242779590232,viz.VizPrimitive(6)
1726,t,-1.0,-1.0,0,6,35.516279726831904,0,-31.464574813842773,220.67276000976562,348.14072608947754,0.03099999949336052,1.0849999822676182,0.01815739494695333,0.13387941193514052,0.016734926491892566,viz.VizPrimitive(6)
1727,t,-1.0,-1.0,0,6,35.532884251299194,0,-31.491872787475586,220.80274963378906,348.15990257263184,0.032999999821186066,1.1549999937415123,0.01917717972289419,0.1328289511813523,0.016603618897669037,viz.VizPrimitive(6)
1728,t,-1.0,-1.0,0,6,35.54954975078724,0,-31.519229888916016,220.93324279785156,348.17973709106445,0.03400000184774399,1.1900000646710396,0.019833023096460945,0.13333124046135936,0.01666640505766992,viz.VizPrimitive(6)
1729,t,-1.0,-1.0,0,6,35.56627411230029,0,-31.546634674072266,221.06419372558594,348.1996364593506,0.03400000184774399,1.1900000646710396,0.019899836026303092,0.13378040299051008,0.01672255037381376,viz.VizPrimitive(6)
1730,t,-1.0,-1.0,0,6,35.5828505641095,0,-31.573753356933594,221.19400024414062,348.21936225891113,0.03400000184774399,1.1900000646710396,0.019725978724973326,0.1326116144736602,0.016576451809207526,viz.VizPrimitive(6)
1731,t,-1.0,-1.0,0,6,35.599632882077934,0,-31.601165771484375,221.325439453125,348.2381601333618,0.03200000151991844,1.1200000531971455,0.01879721125543416,0.13426578830438984,0.01678322353804873,viz.VizPrimitive(6)
1732,t,-1.0,-1.0,0,6,35.61633037835906,0,-31.628395080566406,221.45620727539062,348.25510692596436,0.028999999165534973,1.014999970793724,0.016947958237677675,0.133579970249059,0.016697496281132373,viz.VizPrimitive(6)
1733,t,-1.0,-1.0,0,6,35.632850986708654,0,-31.655298233032227,221.58560180664062,348.2701416015625,0.026000000536441803,0.9100000187754631,0.015033753908306663,0.1321648667966997,0.016520608349587462,viz.VizPrimitive(6)
1734,t,-1.0,-1.0,0,6,35.64961428771516,0,-31.68256187438965,221.7169189453125,348.28422355651855,0.024000000208616257,0.840000007301569,0.014081680086857656,0.13411123775671285,0.016763904719589107,viz.VizPrimitive(6)
1735,t,-1.0,-1.0,0,6,35.66620764349052,0,-31.709516525268555,221.84689331054688,348.29641819000244,0.020999999716877937,0.7349999900907278,0.01219589446591148,0.1327444313506021,0.016593053918825262,viz.VizPrimitive(6)
1736,t,-1.0,-1.0,0,6,35.68290453605857,0,-31.736610412597656,221.97767639160156,348.30752182006836,0.01899999938905239,0.6649999786168337,0.01110263026235512,0.13356548113517874,0.016695685141897343,viz.VizPrimitive(6)
1737,t,-1.0,-1.0,0,6,35.699598108204704,0,-31.7636775970459,222.10845947265625,348.318039894104,0.017999999225139618,0.6299999728798866,0.010517520508158993,0.1335558217259063,0.016694477715738287,viz.VizPrimitive(6)
1738,t,-1.0,-1.0,0,6,35.71624036473929,0,-31.790634155273438,222.23883056640625,348.32794094085693,0.017000000923871994,0.5950000323355198,0.009901424757616592,0.13312839286749067,0.016641049108436334,viz.VizPrimitive(6)
1739,t,-1.0,-1.0,0,6,35.73287266000811,0,-31.81753921508789,222.3690643310547,348.3372497558594,0.01600000075995922,0.5600000265985727,0.009309352682190353,0.13299074628599783,0.01662384328574973,viz.VizPrimitive(6)
1740,t,-1.0,-1.0,0,6,35.7495242740954,0,-31.8444766998291,222.49957275390625,348.34657764434814,0.01600000075995922,0.5600000265985727,0.009327947045837445,0.13325638003976792,0.01665704750497099,viz.VizPrimitive(6)
1741,t,-1.0,-1.0,0,6,35.766174077043445,0,-31.87138557434082,222.6300506591797,348.35590267181396,0.01600000075995922,0.5600000265985727,0.009325580490467215,0.13322257210751332,0.016652821513439164,viz.VizPrimitive(6)
1742,t,-1.0,-1.0,0,6,35.782896627417266,0,-31.898386001586914,222.76107788085938,348.3652677536011,0.01600000075995922,0.5600000265985727,0.009364290574793075,0.13377557328590228,0.016721946660737785,viz.VizPrimitive(6)
1743,t,-1.0,-1.0,0,6,35.79948847390994,0,-31.925153732299805,222.89108276367188,348.3745584487915,0.01600000075995922,0.5600000265985727,0.009290758318535304,0.13272511253211405,0.016590639066514257,viz.VizPrimitive(6)
1744,t,-1.0,-1.0,0,6,35.81632512605529,0,-31.952268600463867,223.0228729248047,348.38397693634033,0.01600000075995922,0.5600000265985727,0.009418721348395848,0.13455315572900872,0.01681914446612609,viz.VizPrimitive(6)
1745,t,-1.0,-1.0,0,6,35.832845734404884,0,-31.978910446166992,223.15248107910156,348.39323902130127,0.01600000075995922,0.5600000265985727,0.009262359654048802,0.13231941734443353,0.01653992716805419,viz.VizPrimitive(6)
1746,t,-1.0,-1.0,0,6,35.84959364072793,0,-32.00586700439453,223.2837371826172,348.4026184082031,0.01600000075995922,0.5600000265985727,0.009379335105388803,0.1339904951413473,0.016748811892668414,viz.VizPrimitive(6)
1747,t,-1.0,-1.0,0,6,35.86618397793791,0,-32.03254699707031,223.4137420654297,348.41190814971924,0.01600000075995922,0.5600000265985727,0.0092904202391967,0.13272028282750625,0.01659003535343828,viz.VizPrimitive(6)
1748,t,-1.0,-1.0,0,6,35.88289777447211,0,-32.05940628051758,223.54473876953125,348.4206848144531,0.014999999664723873,0.5249999882653356,0.008775059933684642,0.13371520197824793,0.01671440024728099,viz.VizPrimitive(6)
1749,t,-1.0,-1.0,0,6,35.899562670247086,0,-32.08613586425781,223.67518615722656,348.4288396835327,0.014000000432133675,0.4900000151246786,0.008156185050742316,0.13316220079980212,0.016645275099975265,viz.VizPrimitive(6)
1750,t,-1.0,-1.0,0,6,35.91630121901744,0,-32.1130256652832,223.8065185546875,348.4364652633667,0.013000000268220901,0.45500000938773155,0.0076241431865911626,0.13405086644900166,0.016756358306125207,viz.VizPrimitive(6)
1751,t,-1.0,-1.0,0,6,35.93288702837935,0,-32.139625549316406,223.9365234375,348.44285011291504,0.010999999940395355,0.38499999791383743,0.006385768999263546,0.1326913045998026,0.016586413074975326,viz.VizPrimitive(6)
1752,t,-1.0,-1.0,0,6,35.94955222601086,0,-32.16633987426758,224.06715393066406,348.4486837387085,0.009999999776482582,0.3499999921768904,0.005833558589159161,0.13333848501827106,0.016667310627283882,viz.VizPrimitive(6)
1753,t,-1.0,-1.0,0,6,35.96622859233429,0,-32.19305419921875,224.19786071777344,348.4539375305176,0.008999999612569809,0.3149999864399433,0.005252960080942798,0.133408515735141,0.016676064466892626,viz.VizPrimitive(6)
1754,t,-1.0,-1.0,0,6,35.98286933958619,0,-32.21969985961914,224.3282928466797,348.4580144882202,0.007000000216066837,0.2450000075623393,0.004076909247703982,0.13312356316288287,0.01664044539536036,viz.VizPrimitive(6)
1755,t,-1.0,-1.0,0,6,35.999507370129244,0,-32.246334075927734,224.45870971679688,348.4615087509155,0.006000000052154064,0.21000000182539225,0.0034942400039069017,0.13311390375366727,0.01663923796920841,viz.VizPrimitive(6)
1756,t,-1.0,-1.0,0,6,36.01619550885768,0,-32.27302932739258,224.5894775390625,348.46442794799805,0.004999999888241291,0.1749999960884452,0.0029195261890175993,0.1334640573382444,0.01668300716728055,viz.VizPrimitive(6)
1757,t,-1.0,-1.0,0,6,36.03287429003342,0,-32.29971694946289,224.72023010253906,348.4661798477173,0.003000000026077032,0.10500000091269612,0.001751588988043917,0.1334543979290288,0.0166817997411286,viz.VizPrimitive(6)
1758,t,-1.0,-1.0,0,6,36.04954643036532,0,-32.32638931274414,224.85092163085938,348.4667634963989,0.0010000000474974513,0.035000001662410796,0.0005835883292083919,0.1333916117690137,0.016673951471126713,viz.VizPrimitive(6)
1759,t,-1.0,-1.0,0,6,36.06622400411491,0,-32.353065490722656,224.9816436767578,348.4661798477173,-0.0010000000474974513,-0.035000001662410796,-0.0005836939790019543,0.13341576029210955,0.016676970036513694,viz.VizPrimitive(6)
1760,t,-1.0,-1.0,0,6,36.082933574657574,0,-32.379791259765625,225.1125946044922,348.4644250869751,-0.003000000026077032,-0.10500000091269612,-0.0017542513627358397,0.13365724552284064,0.01670715569035508,viz.VizPrimitive(6)
1761,t,-1.0,-1.0,0,6,36.09962171338601,0,-32.406490325927734,225.243408203125,348.46150398254395,-0.004999999888241291,-0.1749999960884452,-0.0029204242121992833,0.13350510982746755,0.016688138728433444,viz.VizPrimitive(6)
1762,t,-1.0,-1.0,0,6,36.11617280924599,0,-32.43297576904297,225.37313842773438,348.4574499130249,-0.007000000216066837,-0.2450000075623393,-0.004055166520568539,0.13241359658445617,0.01655169957305702,viz.VizPrimitive(6)
1763,t,-1.0,-1.0,0,6,36.13293792139173,0,-32.459815979003906,225.5045623779297,348.45216846466064,-0.008999999612569809,-0.3149999864399433,-0.005281390437794053,0.13413055657514406,0.016766319571893007,viz.VizPrimitive(6)
1764,t,-1.0,-1.0,0,6,36.149543653285164,0,-32.48640441894531,225.6346893310547,348.4457759857178,-0.010999999940395355,-0.38499999791383743,-0.006391579737599263,0.132812047215225,0.016601505901903124,viz.VizPrimitive(6)
1765,t,-1.0,-1.0,0,6,36.16622303817398,0,-32.513118743896484,225.76536560058594,348.4381914138794,-0.013000000268220901,-0.45500000938773155,-0.007585961352255145,0.1333795375074942,0.016672442188436776,viz.VizPrimitive(6)
1766,t,-1.0,-1.0,0,6,36.1828803875355,0,-32.53984451293945,225.89601135253906,348.4288549423218,-0.01600000075995922,-0.5600000265985727,-0.009334539592952157,0.13335055927979056,0.01666881990997382,viz.VizPrimitive(6)
1767,t,-1.0,-1.0,0,6,36.199511475378166,0,-32.566532135009766,226.02635192871094,348.41779613494873,-0.01899999938905239,-0.6649999786168337,-0.011059472325157952,0.13304628788904438,0.016630785986130547,viz.VizPrimitive(6)
1768,t,-1.0,-1.0,0,6,36.21618844541468,0,-32.593318939208984,226.15704345703125,348.4049549102783,-0.02199999988079071,-0.7699999958276749,-0.012841266858528332,0.1334157602920527,0.01667697003650659,viz.VizPrimitive(6)
1769,t,-1.0,-1.0,0,6,36.232868132160036,0,-32.620140075683594,226.28775024414062,348.39036083221436,-0.02500000037252903,-0.875000013038516,-0.014594726119670715,0.1334374939629015,0.016679686745362687,viz.VizPrimitive(6)
1770,t,-1.0,-1.0,0,6,36.249541479918086,0,-32.6469841003418,226.4184112548828,348.37285232543945,-0.029999999329447746,-1.0499999765306711,-0.0175076486533566,0.1333916117690137,0.016673951471126713,viz.VizPrimitive(6)
1771,t,-1.0,-1.0,0,6,36.26626523771806,0,-32.6739387512207,226.54940795898438,348.35237312316895,-0.03500000014901161,-1.2250000052154064,-0.02047846835844579,0.13373693564903988,0.016717116956129985,viz.VizPrimitive(6)
1772,t,-1.0,-1.0,0,6,36.282889684716885,0,-32.70079803466797,226.67970275878906,348.32967376708984,-0.039000000804662704,-1.3650000281631947,-0.022699375202703143,0.13303662847977193,0.016629578559971492,viz.VizPrimitive(6)
1773,t,-1.0,-1.0,0,6,36.29953948766494,0,-32.72774124145508,226.81015014648438,348.3034505844116,-0.04500000178813934,-1.575000062584877,-0.02622391610927428,0.13320083843672137,0.01665010480459017,viz.VizPrimitive(6)
1774,t,-1.0,-1.0,0,6,36.31624996377722,0,-32.75482940673828,226.9409942626953,348.27363872528076,-0.050999999046325684,-1.784999966621399,-0.02981257369922547,0.1336137781813136,0.0167017222726642,viz.VizPrimitive(6)
1775,t,-1.0,-1.0,0,6,36.33301749077526,0,-32.78208923339844,227.07232666015625,348.24077796936035,-0.0560000017285347,-1.9600000604987144,-0.03286080409758564,0.13412572687053625,0.016765715858817032,viz.VizPrimitive(6)
