"","ppid_trialn","heading","StartFrame","StartYawRateChange","FirstSteeringTime","pNum","ResponseStartWorldYaw","EarlyResponses","PeakFrame","PeakYawRateChange","PeakSteeringTime","PeakWorldYaw","PeakWorld_x","PeakWorld_z"
"69","10_1_44",2,28,0.058822806993007,0.449900000000014,10,352.4637,FALSE,32,0.138613051072261,0.516500000000008,352.4876,-23.89971,1651.812
"70","10_1_45",0.5,42,0.0775058113053613,0.683400000000006,10,352.844,FALSE,117,0.174102564102564,1.93350000000001,353.539,-29.29228,1700.172
"71","10_1_46",2,41,0.064941706037296,0.666799999999995,10,352.1878,FALSE,51,0.310268073659674,0.833499999999987,351.9899,-32.96597,1728.466
"72","10_1_47",0.5,31,0.0549067592074592,0.499899999999997,10,350.9379,FALSE,37,0.1741841597669,0.600099999999998,350.9906,-38.90455,1763.291
"73","10_1_48",1.5,28,0.0550699532634032,0.449999999999989,10,352.0701,FALSE,34,0.21652678951049,0.55019999999999,352.1292,-44.04978,1799.726
"74","10_1_49",0.5,51,0.0656759487645688,0.833500000000015,10,353.516,FALSE,55,0.13208627013986,0.900000000000006,353.5375,-48.86937,1839.563
"75","10_1_50",1,29,0.0532750426573426,0.466700000000003,10,352.9414,FALSE,34,0.160151532727273,0.550100000000015,352.9788,-52.61033,1873.756
"76","10_1_51",2,26,0.0507459423076923,0.416699999999992,10,353.0911,FALSE,31,0.182750576270396,0.500100000000003,353.1285,-56.71689,1910.458
"77","10_1_52",1,28,0.0578437865967366,0.450099999999992,10,354.7024,FALSE,33,0.163333364941725,0.5334,354.7391,-59.9553,1947.91
"78","10_1_53",1.5,43,0.0512354053146853,0.699999999999989,10,354.8035,FALSE,60,0.335722610722611,0.983299999999986,354.4995,-63.01755,1988.722
"79","10_1_54",2,28,0.0742424414918415,0.45010000000002,10,354.4164,FALSE,33,0.167738937156177,0.533299999999997,354.4618,-66.85032,2022.23
"80","10_1_55",2,31,0.0628204848484848,0.500200000000007,10,354.7047,FALSE,37,0.211794855944056,0.600199999999973,354.7759,-69.59236,2059.855
"81","10_1_56",1.5,39,0.0500116632867133,0.633399999999995,10,355.3306,FALSE,50,0.315407933799534,0.816900000000032,355.0974,-72.36801,2098.815
"82","10_1_57",2,31,0.0658391726107226,0.500099999999975,10,353.4758,FALSE,41,0.299009313519814,0.666799999999967,353.3014,-76.88374,2134.524
"83","10_1_58",0.5,38,0.051561765034965,0.616599999999949,10,350.1784,FALSE,46,0.156888107226107,0.750099999999975,350.0985,-83.19918,2171.991
"84","10_1_59",1.5,35,0.052867101981352,0.566700000000026,10,347.2782,FALSE,49,0.16504662004662,0.800000000000011,347.067,-90.90051,2208.925
"85","10_1_60",1.5,47,0.0834615282051282,0.766599999999983,10,344.3231,FALSE,55,0.254300682983683,0.899999999999977,344.3558,-101.0642,2245.674
"86","10_1_61",2,34,0.061923062004662,0.550000000000011,10,344.9706,FALSE,45,0.283916075524476,0.733400000000017,344.7464,-110.0247,2280.536
"87","10_1_63",1,36,0.0517249404428904,0.583500000000015,10,341.7027,FALSE,43,0.174755237995338,0.70010000000002,341.7702,-133.2975,2351.188
"88","10_1_64",2,38,0.0595571435897436,0.616800000000012,10,342.3537,FALSE,51,0.319731934731935,0.833399999999983,342.0234,-144.6232,2387.737
"89","10_1_65",1,47,0.050419598041958,0.766700000000014,10,338.6488,FALSE,54,0.23977858974359,0.883399999999995,338.7153,-158.1846,2422.799
"90","10_1_66",1.5,38,0.0571095336829837,0.616700000000037,10,338.7936,FALSE,53,0.327645687645688,0.866700000000037,338.4273,-171.3287,2457.596
"91","10_1_67",0.5,39,0.0636363561771562,0.633100000000013,10,336.8208,FALSE,44,0.172715630536131,0.716499999999996,336.8646,-185.5017,2490.684
"92","10_1_68",0.5,49,0.0506643426573426,0.800099999999986,10,337.5337,FALSE,58,0.169860153846154,0.949999999999989,337.4287,-200.4784,2526.907
"93","10_1_69",2,30,0.0685314839393939,0.483400000000017,10,336.437,FALSE,37,0.21252914988345,0.600000000000023,336.525,-214.2212,2558.586
"94","10_1_70",2,31,0.0670629826573426,0.5,10,338.7826,FALSE,43,0.242552447552448,0.699999999999989,338.5667,-227.8509,2594.197
"95","10_1_71",2,30,0.0733450167832168,0.483399999999961,10,335.4711,FALSE,40,0.299254077156177,0.650099999999952,335.2826,-242.9695,2627.886
"96","10_1_72",0.5,36,0.0531934686480186,0.583399999999983,10,332.3562,FALSE,45,0.134044303030303,0.733400000000017,332.26,-260.4423,2661.623
"97","10_1_73",2,36,0.0506643348484848,0.583300000000008,10,333.1617,FALSE,48,0.256013986013986,0.783400000000029,332.9406,-278.0276,2695.004
"98","10_1_75",0.5,47,0.0673893106060606,0.766700000000014,10,329.2295,FALSE,145,0.20877621958042,2.3999,329.9325,-322.3188,2770.571
"99","10_1_76",0.5,37,0.0630652357808858,0.600000000000023,10,330.5514,FALSE,127,0.152727295104895,2.10000000000002,330.5018,-339.42,2801.03
"100","10_1_77",1,35,0.0700000243589743,0.566599999999994,10,332.1603,FALSE,134,0.256340310839161,2.21660000000003,332.6205,-357.4427,2834.778
"101","10_1_78",1,33,0.0578438513986014,0.533400000000029,10,334.9275,FALSE,112,0.266130538461539,1.85000000000002,333.6396,-372.3636,2865.77
"102","10_1_79",2,30,0.0607809026806527,0.483299999999986,10,332.2059,FALSE,37,0.148811181585082,0.600099999999998,332.2736,-384.9264,2889.894
"103","10_1_80",0.5,42,0.0509906611888112,0.683400000000006,10,335.2682,FALSE,47,0.168228454358974,0.766800000000046,335.2343,-401.1343,2924.99
"104","10_1_81",1.5,37,0.0565384723776224,0.600200000000029,10,333.9619,FALSE,45,0.200780893006993,0.733600000000024,334.0565,-417.2116,2958.387
"105","10_1_82",1,29,0.051316986013986,0.466700000000003,10,335.1513,FALSE,37,0.190827548951049,0.600099999999998,335.0609,-432.225,2991.396
"106","10_1_83",1.5,28,0.0712237636363636,0.450099999999964,10,333.0519,FALSE,42,0.186829836829837,0.683400000000006,332.7585,-449.2299,3025.375
"107","10_1_84",1,31,0.0566200527972028,0.5,10,330.3461,FALSE,41,0.207797213286713,0.666699999999992,330.1979,-467.4771,3057.788
"108","10_1_85",2,33,0.0645337623543123,0.533399999999972,10,328.1879,FALSE,39,0.249650383449883,0.633399999999995,328.2567,-486.8632,3089.378
"109","10_1_86",1.5,33,0.0547435885780886,0.533399999999972,10,329.1921,FALSE,38,0.184137544055944,0.616799999999955,329.2312,-505.7237,3121.435
"110","10_1_88",1,41,0.0583333149184149,0.666699999999992,10,329.3146,FALSE,51,0.174510462470862,0.833500000000015,329.1756,-544.2441,3187.401
"111","10_1_89",2,35,0.0519696947552447,0.566600000000051,10,327.1946,FALSE,46,0.201596755244755,0.750100000000032,327.0357,-563.9644,3218.31
"112","10_2_0",1,30,0.164475524475525,0.484245,10,0,FALSE,40,0.246386946386947,0.650937,0.1822316,0.00110344,15.0737
"113","10_2_1",2,30,0.0769347378787879,0.483359999999999,10,0.6092464,FALSE,35,0.245326333449883,0.56668,0.6623422,-0.3366428,51.47921
"114","10_2_11",1,35,0.0820745865967366,0.566770000000005,10,7.628228,FALSE,41,0.213263398601399,0.66666,7.556539,46.78026,421.9555
"115","10_2_12",1.5,27,0.0736713195804196,0.433329999999998,10,6.999289,FALSE,34,0.204778560606061,0.550079999999994,6.911133,50.9941,457.9755
"116","10_2_13",1.5,28,0.0571911342657343,0.45004999999999,10,5.957677,FALSE,36,0.14620046013986,0.583339999999993,6.0405,54.59623,495.3971
"117","10_2_14",0.5,36,0.0502563952214452,0.583489999999998,10,6.744438,FALSE,43,0.15337994965035,0.700119999999998,6.681405,59.23573,533.3796
"118","10_2_2",2,29,0.0744871973193473,0.466570000000001,10,2.583301,FALSE,35,0.199067604195804,0.566590000000001,2.649223,1.400494,88.76745
"119","10_2_21",1.5,30,0.0666549871794872,0.483399999999989,10,8.462781,FALSE,35,0.160804200885781,0.566599999999994,8.504053,87.14932,791.8173
