"","ppid_trialn","pNum","heading","FirstSteeringTime","TimeToPeak","YawIncrease"
"192","10_3_31",10,1,0.466700000000003,0.166699999999992,0.137470832051282
"193","10_3_32",10,1.5,0.466799999999978,0.0833000000000084,0.0831352181351982
"194","10_3_33",10,1.5,0.4666,0.166599999999988,0.172878753030303
"195","10_3_34",10,1,0.516699999999986,0.166799999999995,0.107855472610723
"196","10_3_36",10,1.5,0.4666,1.44999999999999,0.107121211655012
"197","10_3_37",10,1,0.500199999999978,0.0834000000000117,0.096433562027972
"198","10_3_38",10,2,0.466800000000006,0.0999999999999943,0.133636319440559
"199","10_3_39",10,1.5,0.5334,1.4332,0.230396255361305
"200","10_3_4",10,2,0.350079999999998,0.133369999999999,0.121806561421911
"201","10_3_40",10,1.5,0.416699999999992,0.2166,0.206981396620047
"202","10_3_43",10,2,0.416800000000023,0.183299999999974,0.127027964685315
"203","10_3_44",10,1.5,0.466700000000003,1.73329999999999,0.151748275874126
"204","10_3_45",10,1,0.533300000000025,0.0833999999999833,0.114953408414918
"205","10_3_46",10,1.5,0.466700000000003,1.91679999999999,0.280163153496504
"206","10_3_47",10,1,0.550099999999986,0.233400000000017,0.116013973426573
"207","10_3_48",10,1.5,0.400000000000006,1.9666,0.150034994988345
"208","10_3_49",10,1,0.61669999999998,0.116800000000012,0.123601388671329
"209","10_3_5",10,2,0.383389999999999,0.366580000000006,0.125559468018648
"210","10_3_51",10,2,0.466700000000003,0.0832999999999799,0.124580408391608
"211","10_3_52",10,1,0.449999999999989,1.93340000000001,0.156969673170163
"212","10_3_53",10,0.5,0.583399999999983,0.0833000000000084,0.0915384016317017
"213","10_3_54",10,2,0.366800000000012,0.0832999999999515,0.0753030640559441
"214","10_3_55",10,1.5,0.483400000000017,1.89999999999998,0.221666686363636
"215","10_3_57",10,1,0.449999999999989,1.75,0.187645665151515
"216","10_3_58",10,0.5,0.749900000000025,0.133399999999995,0.0755478038461538
"217","10_3_59",10,0.5,0.500099999999975,1.6832,0.168636393822844
"218","10_3_6",10,2,0.349979999999995,2.04991,0.157540817599068
"219","10_3_63",10,2,0.550100000000043,1.93329999999997,0.268088594755245
"220","10_3_64",10,1,0.566500000000019,0.166899999999998,0.14448720034965
"221","10_3_65",10,1.5,0.483299999999986,0.099899999999991,0.147342636433566
"222","10_3_66",10,1,0.449999999999989,1.51659999999998,0.238717897785548
"223","10_3_67",10,0.5,0.450199999999995,1.28309999999999,0.22623548006993
